featIdx,bin,partition,sumLeft,sumRight,weightLeft,weightRight,mlx_skipped,mlx_termNum,mlx_termDen,cpu_termNum,cpu_termDen,term_num_diff,term_den_diff
0,94,1,-1839.172852,-7898.249023,13672,12891,0,5085.44373072647,5084.26380587613,5085.44373072647,5084.26380587613,0.000000e+00,0.000000e+00
0,95,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,95,1,-1971.638184,-7765.783691,14063,12500,0,5099.79958344166,5098.58329372178,5099.79958344166,5098.58329372178,9.094947e-13,0.000000e+00
0,96,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,96,1,-2105.597656,-7631.824219,14453,12110,0,5115.14098289412,5113.88643829096,5115.14098289412,5113.88643829096,0.000000e+00,0.000000e+00
0,97,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,97,1,-2249.131836,-7488.290039,14844,11719,0,5124.41116568195,5123.11803377202,5124.41116568195,5123.11803377202,9.094947e-13,0.000000e+00
0,98,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,98,1,-2399.725098,-7337.696777,15234,11329,0,5129.24608139838,5127.91382250096,5129.24608139838,5127.91382250096,9.094947e-13,0.000000e+00
0,99,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
